planner_user,plan_created_at,selected_date,window_start,window_end,templateID,database,country,group,update,time,edm,team,procedures,holiday_date,holiday_name,holiday_type,target_date,planned_action,planned_note,move_mode,move_to_date,move_to_time,plan_status
gibson,2026-04-05 16:20:05,2026-04-15,2026-04-08,2026-04-22,2268,INTDAILY,Bolivia,R97,Exchange Rates,06:06:50 PM,gibson,dwb,j:\proc\intl\intdaily\bolivia xr.doc,2026-04-15,Tarija Day (Feriado Departamental) (T),regional,2026-04-15,MARK_DONE,AUTOHOL: Marked as Done 2026-04-05,,,,PLANNED
gibson,2026-04-05 16:20:05,2026-04-15,2026-04-08,2026-04-22,3631,INTDAILY,Bolivia,Y53,Exchange Rates Mid-Rates Calculation,06:06:51 PM,gibson,dwb,j:\PROC\INTL\INTDAILY\Middle Rate Calculation.doc,2026-04-15,Tarija Day (Feriado Departamental) (T),regional,2026-04-15,MARK_DONE,AUTOHOL: Marked as Done 2026-04-05,,,,PLANNED
